ra,dec
230.7846265696272,1.4458047784927472
230.83215128247807,1.4757967691242275
230.87983541988265,1.505467965388715
230.92763398310998,1.5349093270256757
230.97550197681844,1.5642118165856864
231.02339440931826,1.5934663996008795
231.07126629280236,1.6227640447475522
231.11907264354048,1.652195723999669
231.1667684820321,1.6818524127719865
231.2143088331114,1.7118250900515377
231.2616532165761,1.7421956594343457
231.30880200410166,1.7729634386195583
231.3557773713493,1.804083659586046
231.40260169667343,1.8355111392615846
231.44929735653727,1.8672006930503704
231.4958867254932,1.8991071347757582
231.5423921761584,1.9311852766218576
231.5888360791847,1.963389929073684
231.6352408032208,1.9956759008555347
231.68162871486632,2.0279979988672605
231.72802217861542,2.060311028118094
231.7744435567897,2.0925697916576995
231.8209152094573,2.12472909050409
231.8674594133329,2.1567438874205846
231.91409290701813,2.1885803404667787
231.96082343440855,2.2202227970522856
232.00765791443507,2.2516572703069135
232.0546032649762,2.2828697724793496
232.10166640280687,2.3138463149084463
232.14885424354424,2.3445729079937743
232.19617370159008,2.375035561165407
232.24363169007037,2.405220282852919
232.29123512077066,2.435113080453576
232.3389909040694,2.4646999602997
232.38690594886612,2.493966927625171
232.43498716250735,2.522899986531057
232.48324145070808,2.5514851399503717
232.53167200194247,2.5797159096779034
232.58026158205482,2.607627150884572
232.62898597973813,2.6352678471182087
232.67782098077316,2.6626869967249536
232.72674237428444,2.6899336007114543
232.7757259529324,2.7170566628486648
232.8247475130916,2.7441051897718878
232.87378285501072,2.7711281910767167
232.92280778295657,2.798174679410528
232.97179810533726,2.825293670559201
233.02072963480612,2.8525341835287152
233.0695781883428,2.879945240621303
233.11831958731162,2.907575867505811
233.16693086208872,2.935472653417869
233.2154205008347,2.9636184789410396
233.263830678104,2.99192798221679
233.31220521339552,3.020312448749986
233.36058791857488,3.048683158088111
233.40902259769405,3.0769513836754157
233.45755304673818,3.1050283926893587
233.50622305329574,3.132825445858232
233.5550763961472,3.160253797258838
233.604156844767,3.1872246940931364
233.65350815873646,3.2136493764428393
233.703174087061,3.2394390770009647
233.75319836739033,3.2645050207794775
233.8036247233594,3.288758428393986
233.8544826596038,3.3121393126458116
233.90575312712747,3.3346861030391737
233.95740671803,3.3564582377157293
234.00941402851439,3.377515158424559
234.06174565947458,3.397916310734654
234.11437221706458,3.417721144242934
234.1672643132486,3.4369891127771774
234.22039256632826,3.455779674593339
234.27372760144527,3.4741522925667043
234.32724005105834,3.4921664343764465
234.3809005553913,3.509881572683134
234.43467976285194,3.5273571852987913
234.4885483304196,3.544652755349136
234.54247780466045,3.561825983763766
234.59645140022127,3.5789109073685466
234.65046059392162,3.595924801896916
234.70449704001362,3.612884589833941
234.7585523954367,3.629807195288427
234.81261831989084,3.6467095440299673
234.86668647590724,3.6636085635252233
234.92074852891602,3.680521182973452
234.97479614731068,3.6974643333412223
235.02882100250912,3.7144549473963164
235.08281476901172,3.7315099597407846
235.136769124456,3.7486463068431317
235.19067574966724,3.7658809270696025
235.24452632870586,3.7832307607145603
235.29831254891127,3.800712750029905
235.35202610094154,3.8183438392535343
235.4056586788092,3.836140974636793
235.4592019799129,3.8541211044709165
235.5126477050648,3.8723011791124007
235.56598755851454,3.8906981510073084
235.61921324796725,3.909328974714459
235.6723164845981,3.928210606927464
235.72528898306186,3.9473600064956087
235.7781224614977,3.966794134443515
235.83080864152873,3.986529953989557
235.8833392482568,4.006584430563011
235.9357060102513,4.026974531819873
235.98790065953344,4.047717227657339
236.03991493155434,4.068829490226864
236.09174056516684,4.090328293945801
236.1433693025925,4.112230615507548
236.19479288938103,4.1345534338901535
236.24600307436432,4.157313730363344
236.2969916096031,4.180528488493917
236.34775025032727,4.204214694149455
236.39827075486835,4.228389335500268
236.4485448845857,4.253069403019566
236.49856440378386,4.27827188948173
236.5483210796226,4.304013789958677
236.59780668201898,4.330312101814215
236.6470131538189,4.357183477398228
236.69594048395632,4.384628163762683
236.7446000170836,4.412623241209025
236.79300395125136,4.44114403781092
236.84116448006708,4.470165879008625
236.88909379277175,4.499664087600657
236.9368040743168,4.529613983734875
236.9843075054356,4.559990884898987
237.03161626271438,4.590770105910347
237.07874251865917,4.621926958905077
237.1256984417595,4.653436753326394
237.17249619654916,4.685274795912079
237.21914794366225,4.71741639068106
237.26566583988637,4.7498368389189904
237.31207303007398,4.782488985714158
237.35844414880236,4.815220465184289
237.40486887585809,4.847848106646408
237.4514368650136,4.880188713608644
237.49823774132594,4.912059067222347
237.54536109980435,4.943275925759192
237.59289650353858,4.973656023958196
237.6409334812685,5.003016072237863
237.68956152437627,5.031172755769227
237.7388700832861,5.0579427334061196
237.78894856325653,5.083142636469718
237.83988631955708,5.106589067385311
237.8917726520237,5.128098598170121
237.94469096322405,5.147499709225217
237.9986056207929,5.164864311906033
238.05336992684158,5.180491636943948
238.1088329912967,5.1946896605988035
238.16484399528278,5.207766402795964
238.22125219836687,5.220029929208211
238.2779069444198,5.23178835300012
238.33465766606164,5.243349836226998
238.39135388765925,5.255022590882009
238.4478452268565,5.267114879586175
238.5039813946093,5.279935015916359
238.5596121937071,5.293791364366157
238.6145875157494,5.308992339933799
238.66875738656412,5.3258463047434885
238.72202960141303,5.34454331858256
238.77448077793483,5.364927162309228
238.82621818621635,5.3867785825670635
238.87734903302768,5.409878290961901
238.9279804656856,5.434006964766668
238.97821957524306,5.458945247462556
239.02817339899028,5.4844737491134286
239.07794892225064,5.510373046569534
239.12765307945006,5.536423683495643
239.17739275443557,5.56240617021829
239.22727478001926,5.588100983386373
239.27740593672107,5.613288565439282
239.32789295068542,5.637749323876808
239.3788346175025,5.661279815942367
239.4302437518756,5.683853235805204
239.48208027156141,5.70555152650297
239.53430333666935,5.726458234096831
239.5868721252212,5.74665691685546
239.63974583445128,5.766231145655996
239.69288368201242,5.785264504361262
239.74624490707996,5.803840590172372
239.79978877135363,5.822043013955816
239.8534745599513,5.839955400544255
239.90726158219226,5.857661389010349
239.96110917226773,5.875244632912928
240.01497668979493,5.892788800514929
240.0688236365418,5.910377335307669
240.12262193375506,5.928068148287581
240.17636673480152,5.9458712984683695
240.23005574790963,5.963791584963117
240.28368668301133,5.9818338078770825
240.3372572517482,6.000002768314007
240.39076516747804,6.01830326838227
240.44420814528087,6.036740111200887
240.49758390196402,6.055318100905346
240.55089015606637,6.0740420426532955
240.60412462786226,6.092916742630048
240.6572850393652,6.111947008053939
240.71036911432964,6.131137647181499
240.7633745782538,6.150493469312484
240.81629723550006,6.170023259399974
240.86912045921278,6.189761511271752
240.92182268734413,6.209752953957754
240.97438235961965,6.230042351260975
241.02677793014203,6.250674475585165
241.07898786727637,6.271694107951123
241.13099065349223,6.293146038002833
241.18276478516364,6.31507506400323
241.23428877232342,6.337525992819339
241.2855411383722,6.36054363989654
241.33650041974107,6.384172829221702
241.38714516550453,6.408458393274859
241.43745393694616,6.433445172969193
241.48740530707047,6.459178017578859
241.5369778600639,6.485701784654446
241.58615019070064,6.513061339925523
241.63490090369177,6.541301557190007
241.68320861297593,6.57046731818977
241.73105194095004,6.6006035124721
241.77840951763625,6.631755037236433
241.82525997978394,6.663966797165843
241.87158196990367,6.697283704242685
241.91735413523006,6.731750677547753
241.96255512661057,6.767412643042276
242.0071635973179,6.804314533332059
242.05115820178142,6.842501287412984
242.09451759423436,6.8820178503970295
